location,date,temperature,humidity,rain,wind_speed_mps,solar_radiation
"Chhattisgarh, Durg",1983,25,80,1200,2.0,18
"Chhattisgarh, Durg",1983,22,70,800,2.5,20
"Chhattisgarh, Durg",1983,20,60,600,1.5,16
"Chhattisgarh, Durg",1984,25,80,1200,2.0,18
"Chhattisgarh, Durg",1984,22,70,800,2.5,20
"Chhattisgarh, Durg",1984,20,60,600,1.5,16
"Chhattisgarh, Durg",1985,25,80,1200,2.0,18
"Chhattisgarh, Durg",1985,22,70,800,2.5,20
"Chhattisgarh, Durg",1985,20,60,600,1.5,16
"Chhattisgarh, Durg",1986,25,80,1200,2.0,18
"Chhattisgarh, Durg",1986,22,70,800,2.5,20
"Chhattisgarh, Durg",1986,20,60,600,1.5,16
"Chhattisgarh, Durg",1987,25,80,1200,2.0,18
"Chhattisgarh, Durg",1987,22,70,800,2.5,20
"Chhattisgarh, Durg",1987,20,60,600,1.5,16
"Chhattisgarh, Durg",1988,25,80,1200,2.0,18
"Chhattisgarh, Durg",1988,22,70,800,2.5,20
"Chhattisgarh, Durg",1988,20,60,600,1.5,16
"Chhattisgarh, Durg",1989,25,80,1200,2.0,18
"Chhattisgarh, Durg",1989,22,70,800,2.5,20
"Chhattisgarh, Durg",1989,20,60,600,1.5,16
"Chhattisgarh, Durg",1990,25,80,1200,2.0,18
"Chhattisgarh, Durg",1990,22,70,800,2.5,20
"Chhattisgarh, Durg",1990,20,60,600,1.5,16
"Chhattisgarh, Durg",1991,25,80,1200,2.0,18
"Chhattisgarh, Durg",1991,22,70,800,2.5,20
"Chhattisgarh, Durg",1991,20,60,600,1.5,16
"Chhattisgarh, Durg",1992,25,80,1200,2.0,18
"Chhattisgarh, Durg",1992,22,70,800,2.5,20
"Chhattisgarh, Durg",1992,20,60,600,1.5,16
"Chhattisgarh, Durg",1993,25,80,1200,2.0,18
"Chhattisgarh, Durg",1993,22,70,800,2.5,20
"Chhattisgarh, Durg",1993,20,60,600,1.5,16
"Chhattisgarh, Durg",1994,25,80,1200,2.0,18
"Chhattisgarh, Durg",1994,22,70,800,2.5,20
"Chhattisgarh, Durg",1994,20,60,600,1.5,16
"Chhattisgarh, Durg",1995,25,80,1200,2.0,18
"Chhattisgarh, Durg",1995,22,70,800,2.5,20
"Chhattisgarh, Durg",1995,20,60,600,1.5,16
"Chhattisgarh, Durg",1996,25,80,1200,2.0,18
"Chhattisgarh, Durg",1996,22,70,800,2.5,20
"Chhattisgarh, Durg",1996,20,60,600,1.5,16
"Chhattisgarh, Durg",1997,25,80,1200,2.0,18
"Chhattisgarh, Durg",1997,22,70,800,2.5,20
"Chhattisgarh, Durg",1997,20,60,600,1.5,16
"Chhattisgarh, Durg",1998,25,80,1200,2.0,18
"Chhattisgarh, Durg",1998,22,70,800,2.5,20
"Chhattisgarh, Durg",1998,20,60,600,1.5,16
"Chhattisgarh, Durg",1999,25,80,1200,2.0,18
"Chhattisgarh, Durg",1999,22,70,800,2.5,20
"Chhattisgarh, Durg",1999,20,60,600,1.5,16
"Chhattisgarh, Durg",2000,25,80,1200,2.0,18
"Chhattisgarh, Durg",2000,22,70,800,2.5,20
"Chhattisgarh, Durg",2000,20,60,600,1.5,16
"Chhattisgarh, Durg",2001,25,80,1200,2.0,18
"Chhattisgarh, Durg",2001,22,70,800,2.5,20
"Chhattisgarh, Durg",2001,20,60,600,1.5,16
"Chhattisgarh, Durg",2002,25,80,1200,2.0,18
"Chhattisgarh, Durg",2002,22,70,800,2.5,20
"Chhattisgarh, Durg",2002,20,60,600,1.5,16
"Chhattisgarh, Durg",2002,28,65,700,3.0,22
"Chhattisgarh, Durg",2003,25,80,1200,2.0,18
"Chhattisgarh, Durg",2003,22,70,800,2.5,20
"Chhattisgarh, Durg",2003,20,60,600,1.5,16
"Chhattisgarh, Durg",2003,28,65,700,3.0,22
"Chhattisgarh, Durg",2004,25,80,1200,2.0,18
"Chhattisgarh, Durg",2004,22,70,800,2.5,20
"Chhattisgarh, Durg",2004,20,60,600,1.5,16
"Chhattisgarh, Durg",2004,28,65,700,3.0,22
"Chhattisgarh, Durg",2005,25,80,1200,2.0,18
"Chhattisgarh, Durg",2005,22,70,800,2.5,20
"Chhattisgarh, Durg",2005,20,60,600,1.5,16
"Chhattisgarh, Durg",2006,25,80,1200,2.0,18
"Chhattisgarh, Durg",2006,22,70,800,2.5,20
"Chhattisgarh, Durg",2006,20,60,600,1.5,16
"Chhattisgarh, Durg",2006,28,65,700,3.0,22
"Chhattisgarh, Durg",2007,25,80,1200,2.0,18
"Chhattisgarh, Durg",2007,22,70,800,2.5,20
"Chhattisgarh, Durg",2007,20,60,600,1.5,16
"Chhattisgarh, Durg",2007,28,65,700,3.0,22
"Chhattisgarh, Durg",2008,25,80,1200,2.0,18
"Chhattisgarh, Durg",2008,22,70,800,2.5,20
"Chhattisgarh, Durg",2008,20,60,600,1.5,16
"Chhattisgarh, Durg",2008,28,65,700,3.0,22
"Chhattisgarh, Durg",2009,25,80,1200,2.0,18
"Chhattisgarh, Durg",2009,22,70,800,2.5,20
"Chhattisgarh, Durg",2009,20,60,600,1.5,16
"Chhattisgarh, Durg",2010,25,80,1200,2.0,18
"Chhattisgarh, Durg",2010,22,70,800,2.5,20
"Chhattisgarh, Durg",2010,20,60,600,1.5,16
"Chhattisgarh, Durg",2011,25,80,1200,2.0,18
"Chhattisgarh, Durg",2011,22,70,800,2.5,20
"Chhattisgarh, Durg",2011,20,60,600,1.5,16
"Chhattisgarh, Durg",2011,28,65,700,3.0,22
"Chhattisgarh, Durg",2012,25,80,1200,2.0,18
"Chhattisgarh, Durg",2012,22,70,800,2.5,20
"Chhattisgarh, Durg",2012,20,60,600,1.5,16
"Chhattisgarh, Durg",2012,28,65,700,3.0,22
"Chhattisgarh, Durg",2013,25,80,1200,2.0,18
"Chhattisgarh, Durg",2013,22,70,800,2.5,20
"Chhattisgarh, Durg",2013,20,60,600,1.5,16
"Chhattisgarh, Durg",2013,28,65,700,3.0,22
"Chhattisgarh, Durg",2014,25,80,1200,2.0,18
"Chhattisgarh, Durg",2014,22,70,800,2.5,20
"Chhattisgarh, Durg",2014,20,60,600,1.5,16
"Chhattisgarh, Durg",2014,28,65,700,3.0,22
"Chhattisgarh, Durg",2015,25,80,1200,2.0,18
"Chhattisgarh, Durg",2015,22,70,800,2.5,20
"Chhattisgarh, Durg",2015,20,60,600,1.5,16
"Chhattisgarh, Durg",2015,28,65,700,3.0,22
"Chhattisgarh, Durg",2016,25,80,1200,2.0,18
"Chhattisgarh, Durg",2016,22,70,800,2.5,20
"Chhattisgarh, Durg",2016,20,60,600,1.5,16
"Chhattisgarh, Durg",2016,28,65,700,3.0,22
"Chhattisgarh, Durg",2017,25,80,1200,2.0,18
"Chhattisgarh, Durg",2017,22,70,800,2.5,20
"Chhattisgarh, Durg",2017,20,60,600,1.5,16
"Chhattisgarh, Durg",2017,28,65,700,3.0,22
"Chhattisgarh, Bastar",1966,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1966,22,70,800,2.5,20
"Chhattisgarh, Bastar",1966,20,60,600,1.5,16
"Chhattisgarh, Bastar",1967,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1967,22,70,800,2.5,20
"Chhattisgarh, Bastar",1967,20,60,600,1.5,16
"Chhattisgarh, Bastar",1968,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1968,22,70,800,2.5,20
"Chhattisgarh, Bastar",1968,20,60,600,1.5,16
"Chhattisgarh, Bastar",1969,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1969,22,70,800,2.5,20
"Chhattisgarh, Bastar",1969,20,60,600,1.5,16
"Chhattisgarh, Bastar",1970,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1970,22,70,800,2.5,20
"Chhattisgarh, Bastar",1970,20,60,600,1.5,16
"Chhattisgarh, Bastar",1971,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1971,22,70,800,2.5,20
"Chhattisgarh, Bastar",1971,20,60,600,1.5,16
"Chhattisgarh, Bastar",1972,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1972,22,70,800,2.5,20
"Chhattisgarh, Bastar",1972,20,60,600,1.5,16
"Chhattisgarh, Bastar",1973,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1973,22,70,800,2.5,20
"Chhattisgarh, Bastar",1973,20,60,600,1.5,16
"Chhattisgarh, Bastar",1974,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1974,22,70,800,2.5,20
"Chhattisgarh, Bastar",1974,20,60,600,1.5,16
"Chhattisgarh, Bastar",1975,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1975,22,70,800,2.5,20
"Chhattisgarh, Bastar",1975,20,60,600,1.5,16
"Chhattisgarh, Bastar",1976,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1976,22,70,800,2.5,20
"Chhattisgarh, Bastar",1976,20,60,600,1.5,16
"Chhattisgarh, Bastar",1977,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1977,22,70,800,2.5,20
"Chhattisgarh, Bastar",1977,20,60,600,1.5,16
"Chhattisgarh, Bastar",1978,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1978,22,70,800,2.5,20
"Chhattisgarh, Bastar",1978,20,60,600,1.5,16
"Chhattisgarh, Bastar",1979,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1979,22,70,800,2.5,20
"Chhattisgarh, Bastar",1979,20,60,600,1.5,16
"Chhattisgarh, Bastar",1980,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1980,22,70,800,2.5,20
"Chhattisgarh, Bastar",1980,20,60,600,1.5,16
"Chhattisgarh, Bastar",1981,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1981,22,70,800,2.5,20
"Chhattisgarh, Bastar",1981,20,60,600,1.5,16
"Chhattisgarh, Bastar",1982,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1982,22,70,800,2.5,20
"Chhattisgarh, Bastar",1982,20,60,600,1.5,16
"Chhattisgarh, Bastar",1983,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1983,22,70,800,2.5,20
"Chhattisgarh, Bastar",1983,20,60,600,1.5,16
"Chhattisgarh, Bastar",1984,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1984,22,70,800,2.5,20
"Chhattisgarh, Bastar",1984,20,60,600,1.5,16
"Chhattisgarh, Bastar",1985,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1985,22,70,800,2.5,20
"Chhattisgarh, Bastar",1985,20,60,600,1.5,16
"Chhattisgarh, Bastar",1986,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1986,22,70,800,2.5,20
"Chhattisgarh, Bastar",1986,20,60,600,1.5,16
"Chhattisgarh, Bastar",1987,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1987,22,70,800,2.5,20
"Chhattisgarh, Bastar",1987,20,60,600,1.5,16
"Chhattisgarh, Bastar",1988,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1988,22,70,800,2.5,20
"Chhattisgarh, Bastar",1988,20,60,600,1.5,16
"Chhattisgarh, Bastar",1989,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1989,22,70,800,2.5,20
"Chhattisgarh, Bastar",1989,20,60,600,1.5,16
"Chhattisgarh, Bastar",1990,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1990,22,70,800,2.5,20
"Chhattisgarh, Bastar",1990,20,60,600,1.5,16
"Chhattisgarh, Bastar",1991,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1991,22,70,800,2.5,20
"Chhattisgarh, Bastar",1991,20,60,600,1.5,16
"Chhattisgarh, Bastar",1992,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1992,22,70,800,2.5,20
"Chhattisgarh, Bastar",1992,20,60,600,1.5,16
"Chhattisgarh, Bastar",1993,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1993,22,70,800,2.5,20
"Chhattisgarh, Bastar",1993,20,60,600,1.5,16
"Chhattisgarh, Bastar",1994,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1994,22,70,800,2.5,20
"Chhattisgarh, Bastar",1994,20,60,600,1.5,16
"Chhattisgarh, Bastar",1995,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1995,22,70,800,2.5,20
"Chhattisgarh, Bastar",1995,20,60,600,1.5,16
"Chhattisgarh, Bastar",1996,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1996,22,70,800,2.5,20
"Chhattisgarh, Bastar",1996,20,60,600,1.5,16
"Chhattisgarh, Bastar",1997,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1997,22,70,800,2.5,20
"Chhattisgarh, Bastar",1997,20,60,600,1.5,16
"Chhattisgarh, Bastar",1998,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1998,22,70,800,2.5,20
"Chhattisgarh, Bastar",1998,20,60,600,1.5,16
"Chhattisgarh, Bastar",1999,25,80,1200,2.0,18
"Chhattisgarh, Bastar",1999,22,70,800,2.5,20
"Chhattisgarh, Bastar",1999,20,60,600,1.5,16
"Chhattisgarh, Bastar",2000,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2000,22,70,800,2.5,20
"Chhattisgarh, Bastar",2000,20,60,600,1.5,16
"Chhattisgarh, Bastar",2000,28,65,700,3.0,22
"Chhattisgarh, Bastar",2001,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2001,22,70,800,2.5,20
"Chhattisgarh, Bastar",2001,20,60,600,1.5,16
"Chhattisgarh, Bastar",2001,28,65,700,3.0,22
"Chhattisgarh, Bastar",2002,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2002,22,70,800,2.5,20
"Chhattisgarh, Bastar",2002,20,60,600,1.5,16
"Chhattisgarh, Bastar",2002,28,65,700,3.0,22
"Chhattisgarh, Bastar",2003,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2003,22,70,800,2.5,20
"Chhattisgarh, Bastar",2003,20,60,600,1.5,16
"Chhattisgarh, Bastar",2004,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2004,22,70,800,2.5,20
"Chhattisgarh, Bastar",2004,20,60,600,1.5,16
"Chhattisgarh, Bastar",2005,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2005,22,70,800,2.5,20
"Chhattisgarh, Bastar",2005,20,60,600,1.5,16
"Chhattisgarh, Bastar",2006,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2006,22,70,800,2.5,20
"Chhattisgarh, Bastar",2006,20,60,600,1.5,16
"Chhattisgarh, Bastar",2007,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2007,22,70,800,2.5,20
"Chhattisgarh, Bastar",2007,20,60,600,1.5,16
"Chhattisgarh, Bastar",2008,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2008,22,70,800,2.5,20
"Chhattisgarh, Bastar",2008,20,60,600,1.5,16
"Chhattisgarh, Bastar",2009,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2009,22,70,800,2.5,20
"Chhattisgarh, Bastar",2009,20,60,600,1.5,16
"Chhattisgarh, Bastar",2010,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2010,22,70,800,2.5,20
"Chhattisgarh, Bastar",2010,20,60,600,1.5,16
"Chhattisgarh, Bastar",2011,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2011,22,70,800,2.5,20
"Chhattisgarh, Bastar",2011,20,60,600,1.5,16
"Chhattisgarh, Bastar",2012,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2012,22,70,800,2.5,20
"Chhattisgarh, Bastar",2012,20,60,600,1.5,16
"Chhattisgarh, Bastar",2013,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2013,22,70,800,2.5,20
"Chhattisgarh, Bastar",2013,20,60,600,1.5,16
"Chhattisgarh, Bastar",2014,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2014,22,70,800,2.5,20
"Chhattisgarh, Bastar",2014,20,60,600,1.5,16
"Chhattisgarh, Bastar",2015,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2015,22,70,800,2.5,20
"Chhattisgarh, Bastar",2015,20,60,600,1.5,16
"Chhattisgarh, Bastar",2016,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2016,22,70,800,2.5,20
"Chhattisgarh, Bastar",2016,20,60,600,1.5,16
"Chhattisgarh, Bastar",2017,25,80,1200,2.0,18
"Chhattisgarh, Bastar",2017,22,70,800,2.5,20
"Chhattisgarh, Bastar",2017,20,60,600,1.5,16
"Chhattisgarh, Raipur",1966,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1966,22,70,800,2.5,20
"Chhattisgarh, Raipur",1966,20,60,600,1.5,16
"Chhattisgarh, Raipur",1967,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1967,22,70,800,2.5,20
"Chhattisgarh, Raipur",1967,20,60,600,1.5,16
"Chhattisgarh, Raipur",1968,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1968,22,70,800,2.5,20
"Chhattisgarh, Raipur",1968,20,60,600,1.5,16
"Chhattisgarh, Raipur",1969,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1969,22,70,800,2.5,20
"Chhattisgarh, Raipur",1969,20,60,600,1.5,16
"Chhattisgarh, Raipur",1970,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1970,22,70,800,2.5,20
"Chhattisgarh, Raipur",1970,20,60,600,1.5,16
"Chhattisgarh, Raipur",1971,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1971,22,70,800,2.5,20
"Chhattisgarh, Raipur",1971,20,60,600,1.5,16
"Chhattisgarh, Raipur",1972,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1972,22,70,800,2.5,20
"Chhattisgarh, Raipur",1972,20,60,600,1.5,16
"Chhattisgarh, Raipur",1973,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1973,22,70,800,2.5,20
"Chhattisgarh, Raipur",1973,20,60,600,1.5,16
"Chhattisgarh, Raipur",1974,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1974,22,70,800,2.5,20
"Chhattisgarh, Raipur",1974,20,60,600,1.5,16
"Chhattisgarh, Raipur",1975,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1975,22,70,800,2.5,20
"Chhattisgarh, Raipur",1975,20,60,600,1.5,16
"Chhattisgarh, Raipur",1976,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1976,22,70,800,2.5,20
"Chhattisgarh, Raipur",1976,20,60,600,1.5,16
"Chhattisgarh, Raipur",1977,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1977,22,70,800,2.5,20
"Chhattisgarh, Raipur",1977,20,60,600,1.5,16
"Chhattisgarh, Raipur",1978,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1978,22,70,800,2.5,20
"Chhattisgarh, Raipur",1978,20,60,600,1.5,16
"Chhattisgarh, Raipur",1979,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1979,22,70,800,2.5,20
"Chhattisgarh, Raipur",1979,20,60,600,1.5,16
"Chhattisgarh, Raipur",1980,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1980,22,70,800,2.5,20
"Chhattisgarh, Raipur",1980,20,60,600,1.5,16
"Chhattisgarh, Raipur",1981,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1981,22,70,800,2.5,20
"Chhattisgarh, Raipur",1981,20,60,600,1.5,16
"Chhattisgarh, Raipur",1982,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1982,22,70,800,2.5,20
"Chhattisgarh, Raipur",1982,20,60,600,1.5,16
"Chhattisgarh, Raipur",1983,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1983,22,70,800,2.5,20
"Chhattisgarh, Raipur",1983,20,60,600,1.5,16
"Chhattisgarh, Raipur",1984,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1984,22,70,800,2.5,20
"Chhattisgarh, Raipur",1984,20,60,600,1.5,16
"Chhattisgarh, Raipur",1985,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1985,22,70,800,2.5,20
"Chhattisgarh, Raipur",1985,20,60,600,1.5,16
"Chhattisgarh, Raipur",1986,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1986,22,70,800,2.5,20
"Chhattisgarh, Raipur",1986,20,60,600,1.5,16
"Chhattisgarh, Raipur",1987,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1987,22,70,800,2.5,20
"Chhattisgarh, Raipur",1987,20,60,600,1.5,16
"Chhattisgarh, Raipur",1988,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1988,22,70,800,2.5,20
"Chhattisgarh, Raipur",1988,20,60,600,1.5,16
"Chhattisgarh, Raipur",1989,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1989,22,70,800,2.5,20
"Chhattisgarh, Raipur",1989,20,60,600,1.5,16
"Chhattisgarh, Raipur",1990,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1990,22,70,800,2.5,20
"Chhattisgarh, Raipur",1990,20,60,600,1.5,16
"Chhattisgarh, Raipur",1991,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1991,22,70,800,2.5,20
"Chhattisgarh, Raipur",1991,20,60,600,1.5,16
"Chhattisgarh, Raipur",1992,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1992,22,70,800,2.5,20
"Chhattisgarh, Raipur",1992,20,60,600,1.5,16
"Chhattisgarh, Raipur",1993,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1993,22,70,800,2.5,20
"Chhattisgarh, Raipur",1993,20,60,600,1.5,16
"Chhattisgarh, Raipur",1994,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1994,22,70,800,2.5,20
"Chhattisgarh, Raipur",1994,20,60,600,1.5,16
"Chhattisgarh, Raipur",1995,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1995,22,70,800,2.5,20
"Chhattisgarh, Raipur",1995,20,60,600,1.5,16
"Chhattisgarh, Raipur",1996,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1996,22,70,800,2.5,20
"Chhattisgarh, Raipur",1996,20,60,600,1.5,16
"Chhattisgarh, Raipur",1997,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1997,22,70,800,2.5,20
"Chhattisgarh, Raipur",1997,20,60,600,1.5,16
"Chhattisgarh, Raipur",1998,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1998,22,70,800,2.5,20
"Chhattisgarh, Raipur",1998,20,60,600,1.5,16
"Chhattisgarh, Raipur",1999,25,80,1200,2.0,18
"Chhattisgarh, Raipur",1999,22,70,800,2.5,20
"Chhattisgarh, Raipur",1999,20,60,600,1.5,16
"Chhattisgarh, Raipur",2000,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2000,22,70,800,2.5,20
"Chhattisgarh, Raipur",2000,20,60,600,1.5,16
"Chhattisgarh, Raipur",2001,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2001,22,70,800,2.5,20
"Chhattisgarh, Raipur",2001,20,60,600,1.5,16
"Chhattisgarh, Raipur",2002,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2002,22,70,800,2.5,20
"Chhattisgarh, Raipur",2002,20,60,600,1.5,16
"Chhattisgarh, Raipur",2003,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2003,22,70,800,2.5,20
"Chhattisgarh, Raipur",2003,20,60,600,1.5,16
"Chhattisgarh, Raipur",2003,28,65,700,3.0,22
"Chhattisgarh, Raipur",2004,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2004,22,70,800,2.5,20
"Chhattisgarh, Raipur",2004,20,60,600,1.5,16
"Chhattisgarh, Raipur",2004,28,65,700,3.0,22
"Chhattisgarh, Raipur",2005,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2005,22,70,800,2.5,20
"Chhattisgarh, Raipur",2005,20,60,600,1.5,16
"Chhattisgarh, Raipur",2006,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2006,22,70,800,2.5,20
"Chhattisgarh, Raipur",2006,20,60,600,1.5,16
"Chhattisgarh, Raipur",2006,28,65,700,3.0,22
"Chhattisgarh, Raipur",2007,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2007,22,70,800,2.5,20
"Chhattisgarh, Raipur",2007,20,60,600,1.5,16
"Chhattisgarh, Raipur",2008,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2008,22,70,800,2.5,20
"Chhattisgarh, Raipur",2008,20,60,600,1.5,16
"Chhattisgarh, Raipur",2009,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2009,22,70,800,2.5,20
"Chhattisgarh, Raipur",2009,20,60,600,1.5,16
"Chhattisgarh, Raipur",2010,25,80,1200,2.0,18
"Chhattisgarh, Raipur",2010,22,70,800,2.5,20
